,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Prices and Price Indices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Consumer Price Index (CPI)/ Inflation Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Consumer Price Index (CPI) By Household Income Group, Lowest 20%, 2019 As Base Year, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 23/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Index
Data Series,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 
All Items,106.7,101.6,99.9,100,99.7,99.5,99.6,100.7,101.8,100.2,97.6,92.4,88.3,86.2,84.4,78.3,76.8,75.4,74.5,72.8,72,72.2,71.3,70.1,69.8,69,67.7,66.6,65.5,63.9
  Food,109.3,103.6,102,100,98.5,97.1,95.7,93.8,92.3,89.6,87.9,86,83.4,82.2,80.2,74,71.8,70.7,69.8,68.3,67.9,68,67.9,67.6,67,67,65.6,64.2,62.8,60.6
  Food Excl Food Serving Services,110.3,104.6,102.9,100,98.8,97.4,96.2,94.1,93.1,90.4,88.7,86.5,83.6,81.7,79.6,72.1,69.2,67.9,66.5,64.3,63.8,64.6,65,64.8,64,64.7,63.1,61.9,61,59.2
    Bread & Cereals,106.2,102.4,101.9,100,98.4,97.1,96.8,95.6,94.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Meat,116.5,105.6,105.6,100,99.9,100.1,99.6,97.4,96.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Fish & Seafood,107.6,102.4,101.4,100,98.5,95.4,93.4,90,88.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"    Milk, Cheese & Eggs",110.7,103.1,101.6,100,99.5,97.6,97.5,96.9,95.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Oils & Fats,111.3,103.7,101.9,100,99,96.6,96.5,98.2,98.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Fruits,107,104.5,101.5,100,97.9,96.2,92.9,90.7,88.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Vegetables,115,110,104.9,100,98.2,97.9,96.5,92.6,91.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"    Sugar, Preserves & Confectionery",109.1,105.7,105,100,99.8,98.4,96.5,95,94.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Non-Alcoholic Beverages,110.1,105.1,103.3,100,98.6,97.4,96.7,96.5,96.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Other Food,106.3,102.4,101.1,100,99.6,97.8,96.8,94.5,92.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
